Species (informal),genus_species,timetree_species,taxon_id,genus,domain,kingdom,phylum_division,class,num_swissprot_seqs,num_trembl_seqs,uniref100_count,uniref90_count,uniref50_count,time to ancestor Homo sapiens,time to ancestor Mus musculus,time to ancestor Arabidopsis thaliana,time to ancestor Rattus norvegicus,time to ancestor Saccharomyces cerevisiae,time to ancestor Bos taurus,time to ancestor Schizosaccharomyces pombe,time to ancestor Caenorhabditis elegans,time to ancestor Bacillus subtilis,time to ancestor Oryza sativa,time to ancestor Dictyostelium discoideum,time to ancestor Drosophila melanogaster,time to ancestor Danio rerio,time to ancestor Gallus gallus,time to ancestor Mycobacterium tuberculosis,time to ancestor Pongo abelii,time to ancestor Salmonella,time to ancestor Methanocaldococcus jannaschii,time to ancestor Xenopus tropicalis,time to ancestor Haemophilus influenzae,time to ancestor Escherichia coli,time to ancestor Sus scrofa,time to ancestor Macaca fascicularis,time to ancestor Candida albicans,time to ancestor Synechocystis,time to ancestor Archaeoglobus fulgidus,time to ancestor Emericella nidulans,time to ancestor Vibrio cholerae,time to ancestor Staphylococcus aureus,time to ancestor Ashbya,time to ancestor Kluyveromyces lactis,time to ancestor Acanthamoeba polyphaga,time to ancestor Oryctolagus cuniculus,time to ancestor Aspergillus fumigatus,time to ancestor Rhizobium meliloti,time to ancestor Neurospora crassa,time to ancestor Canis lupus,time to ancestor Zea mays,time to ancestor Toxoplasma gondii,time to ancestor Plasmodium falciparum,time to ancestor Anopheles gambiae,time to ancestor Monodelphis domestica,time to ancestor Gorilla gorilla,time to ancestor Chlamydomonas reinhardtii,time to ancestor Ambystoma mexicanum,time to ancestor Schmidtea mediterranea,time to ancestor Apis mellifera,time to ancestor Streptomyces coelicolor,time to ancestor Pectobacterium atrosepticum,time to ancestor Aquifex aeolicus,time to ancestor Pasteurella multocida,time to ancestor Shigella flexneri,time to ancestor Bacillus anthracis,time to ancestor Photorhabdus laumondii,time to ancestor Halalkalibacterium halodurans,time to ancestor Klebsiella pneumoniae,time to ancestor Enterobacter,time to ancestor Yersinia pestis,time to ancestor Nostoc,time to ancestor Pan troglodytes,time to ancestor Mycoplasma pneumoniae,time to ancestor Citrobacter koseri,time to ancestor Serratia proteamaculans,time to ancestor Yarrowia lipolytica,time to ancestor Sinorhizobium fredii,time to ancestor Agrobacterium,time to ancestor Shewanella oneidensis,time to ancestor Debaryomyces hansenii,time to ancestor Treponema pallidum,time to ancestor Cronobacter sakazakii,time to ancestor Methanothermobacter thermautotrophicus,time to ancestor Listeria monocytogenes,time to ancestor Pseudomonas aeruginosa,time to ancestor Helicobacter pylori,time to ancestor Ralstonia solanacearum,time to ancestor Photobacterium profundum,time to ancestor Neisseria meningitidis,time to ancestor Mycolicibacterium smegmatis,time to ancestor Rickettsia prowazekii,time to ancestor Brucella melitensis,time to ancestor Caulobacter vibrioides,time to ancestor Aliivibrio fischeri,time to ancestor Bacillus licheniformis,time to ancestor Thermotoga maritima,time to ancestor Clostridium acetobutylicum,time to ancestor Xanthomonas campestris,time to ancestor Oceanobacillus iheyensis,time to ancestor Lactococcus lactis,time to ancestor Corynebacterium glutamicum,time to ancestor Erwinia tasmaniensis,time to ancestor Sodalis glossinidius,time to ancestor Xylella fastidiosa,time to ancestor Deinococcus radiodurans,time to ancestor Chromobacterium violaceum,time to ancestor Methanosarcina acetivorans,time to ancestor Bordetella pertussis,time to ancestor Geobacillus kaustophilus,time to ancestor Acinetobacter baylyi,time to ancestor Pyrococcus furiosus,time to ancestor Solanum lycopersicum,time to ancestor Nicotiana tabacum,time to ancestor Proteus mirabilis,time to ancestor Alkalihalobacillus clausii,time to ancestor Thermosynechococcus vestitus,time to ancestor Pyrococcus horikoshii,time to ancestor Synechococcus elongatus,time to ancestor Halobacterium salinarum,time to ancestor Saccharolobus solfataricus,time to ancestor Lactiplantibacillus plantarum,time to ancestor Cupriavidus necator,time to ancestor Campylobacter jejuni,time to ancestor Rhodopseudomonas palustris,time to ancestor Cereibacter sphaeroides,time to ancestor Enterococcus faecalis,time to ancestor Aeromonas hydrophila,time to ancestor Trichormus variabilis,time to ancestor Burkholderia mallei,time to ancestor Ovis aries,time to ancestor Methylococcus capsulatus,time to ancestor Caldanaerobacter subterraneus,time to ancestor Phytophthora infestans,time to ancestor Emiliania huxleyi,time to ancestor Paramecium tetraurelia,time to ancestor Entamoeba histolytica,time to ancestor Trichoplax adhaerens,time to ancestor Hydra vulgaris,time to ancestor Nematostella vectensis,time to ancestor Branchiostoma floridae,time to ancestor Petromyzon marinus,time to ancestor Takifugu rubripes,time to ancestor Anas platyrhynchos,time to ancestor Notamacropus eugenii,time to ancestor Felis catus,time to ancestor Aedes aegypti,time to ancestor Culex quinquefasciatus,time to ancestor Lottia gigantea,time to ancestor Brugia malayi
Dictyostelium discoideum (Social amoeba),Dictyostelium discoideum,Dictyostelium discoideum,44689,Dictyostelium,Eukaryota,Protozoa,Amoebozoa,Dictyostelia,4172,21309,13246,12544,10419,1530,1530,1351,1530,1530,1530,1530,1530,3618,1351,0,1530,1530,1530,3618,1530,3618,3618,1530,3618,3618,1530,1530,1530,3618,3618,1530,3618,3618,1530,1530,1377,1530,1530,3618,1530,1530,1351,1351,1351,1530,1530,1530,1351,1530,1530,1530,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,1530,3618,3618,3618,1530,3618,3618,3618,1530,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,1351,1351,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,1530,3618,3618,1351,1351,1351,1377,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530
Drosophila melanogaster (Fruit fly),Drosophila melanogaster,Drosophila melanogaster,7227,Drosophila,Eukaryota,Animalia,Arthropoda,Insecta,4812,224635,36547,22113,17317,686,686,1530,686,1275,686,1275,727,3618,1530,1530,0,686,686,3618,686,3618,3618,686,3618,3618,686,686,1275,3618,3618,1275,3618,3618,1275,1275,1530,686,1275,3618,1275,686,1530,1530,1530,241,686,686,1530,686,610,344,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,686,3618,3618,3618,1275,3618,3618,3618,1275,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,1530,1530,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,686,3618,3618,1530,1530,1530,1530,661,685,685,686,686,686,686,686,686,241,241,610,727
Danio rerio (Zebrafish) (Brachydanio rerio),Danio rerio,Danio rerio,7955,Danio,Eukaryota,Animalia,Chordata,Actinopterygii,3306,44416,45551,28589,12116,429,429,1530,429,1275,429,1275,686,3618,1530,1530,686,0,429,3618,429,3618,3618,429,3618,3618,429,429,1275,3618,3618,1275,3618,3618,1275,1275,1530,429,1275,3618,1275,429,1530,1530,1530,686,429,429,1530,429,686,686,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,429,3618,3618,3618,1275,3618,3618,3618,1275,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,1530,1530,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,429,3618,3618,1530,1530,1530,1530,661,685,685,581,563,224,429,429,429,686,686,686,686
Gallus gallus (Chicken),Gallus gallus,Gallus gallus,9031,Gallus,Eukaryota,Animalia,Chordata,Aves,2309,49560,89089,27759,7519,319,319,1530,319,1275,319,1275,686,3618,1530,1530,686,429,0,3618,319,3618,3618,352,3618,3618,319,319,1275,3618,3618,1275,3618,3618,1275,1275,1530,319,1275,3618,1275,319,1530,1530,1530,686,319,319,1530,352,686,686,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,319,3618,3618,3618,1275,3618,3618,3618,1275,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,1530,1530,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,319,3618,3618,1530,1530,1530,1530,661,685,685,581,563,429,77,319,319,686,686,686,686
Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),Mycobacterium tuberculosis,Mycobacterium tuberculosis,83332,Mycobacterium,Bacteria,,Actinomycetota,Actinomycetia,7201,158746,1065,658,570,3618,3618,3618,3618,3618,3618,3618,3618,2908,3618,3618,3618,3618,3618,0,3618,3134,3618,3618,3134,3134,3618,3618,3618,2908,3618,3618,3134,2908,3618,3618,3618,3618,3618,3134,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,1380,3134,4101,3134,3134,2908,3134,2908,3134,3134,3134,2908,3618,2908,3134,3134,3618,3134,3134,3134,3618,3134,3134,3618,2908,3134,3134,3134,3134,3134,14.2,3134,3134,3134,3134,2908,4180,2908,3134,2908,2908,621,3134,3134,3134,2739,3134,3618,3134,2908,3134,3618,3618,3618,3134,2908,2908,3618,2908,3618,3618,2908,3134,3134,3134,3134,2908,3134,2908,3134,3618,3134,2908,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618
Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii),Pongo abelii,Pongo abelii,9601,Pongo,Eukaryota,Animalia,Chordata,Mammalia,2218,91572,94563,16620,3790,15.2,87,1530,87,1275,94,1275,686,3618,1530,1530,686,429,319,3618,0,3618,3618,352,3618,3618,94,28.8,1275,3618,3618,1275,3618,3618,1275,1275,1530,87,1275,3618,1275,94,1530,1530,1530,686,160,15.2,1530,352,686,686,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,15.2,3618,3618,3618,1275,3618,3618,3618,1275,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,1530,1530,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,94,3618,3618,1530,1530,1530,1530,661,685,685,581,563,429,319,160,94,686,686,686,686
Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),Salmonella typhimurium,Salmonella,90371,Salmonella,Bacteria,,Pseudomonadota,Gammaproteobacteria,2032,161721,29961,3982,1972,3618,3618,3618,3618,3618,3618,3618,3618,3134,3618,3618,3618,3618,3618,3134,3618,0,3618,3618,619,5.00E-05,3618,3618,3618,3134,3618,3618,768,3134,3618,3618,3618,3618,3618,2439,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3134,0.0039,4101,619,5.00E-05,3134,166,3134,0.0042,0.0011,213,3134,3618,3134,102,49,3618,2439,2439,871,3618,3000,102,3618,3134,1481,2849,1993,768,1940,3134,2439,2439,2439,768,3134,4180,3134,1778,3134,3134,3134,0.0034,213,1778,3134,1993,3618,1993,3134,1481,3618,3618,3618,166,3134,3134,3618,3134,3618,3618,3134,1993,2849,2439,2439,3134,871,3134,1993,3618,1778,3134,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618
Methanocaldococcus jannaschii,Methanocaldococcus jannaschii,Methanocaldococcus jannaschii,2190,Methanocaldococcus,Archaea,Euryarchaeota,Euryarchaeota,Methanococci,1787,1215,2126,1868,1668,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,0,3618,3618,3618,3618,3618,3618,3618,3465,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,2971,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3465,3618,3618,3618,3551,3618,3618,3618,3618,3618,3551,3618,3465,4015,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618
Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),Xenopus tropicalis,Xenopus tropicalis,8364,Xenopus,Eukaryota,Animalia,Chordata,Amphibia,1722,74637,67595,29166,10540,352,352,1530,352,1275,352,1275,686,3618,1530,1530,686,429,352,3618,352,3618,3618,0,3618,3618,352,352,1275,3618,3618,1275,3618,3618,1275,1275,1530,352,1275,3618,1275,352,1530,1530,1530,686,352,352,1530,291,686,686,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,352,3618,3618,3618,1275,3618,3618,3618,1275,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,1530,1530,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,352,3618,3618,1530,1530,1530,1530,661,685,685,581,563,429,352,352,352,686,686,686,686
Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),Haemophilus influenzae,Haemophilus influenzae,71421,Haemophilus,Bacteria,,Pseudomonadota,Gammaproteobacteria,3534,60716,1594,1540,1203,3618,3618,3618,3618,3618,3618,3618,3618,3134,3618,3618,3618,3618,3618,3134,3618,619,3618,3618,0,619,3618,3618,3618,3134,3618,3618,768,3134,3618,3618,3618,3618,3618,2439,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3134,619,4101,133,619,3134,619,3134,619,619,619,3134,3618,3134,619,619,3618,2439,2439,871,3618,3000,619,3618,3134,1481,2849,1993,768,1940,3134,2439,2439,2439,768,3134,4180,3134,1778,3134,3134,3134,619,619,1778,3134,1993,3618,1993,3134,1481,3618,3618,3618,619,3134,3134,3618,3134,3618,3618,3134,1993,2849,2439,2439,3134,871,3134,1993,3618,1778,3134,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618
Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),Escherichia coli,Escherichia coli,199310,Escherichia,Bacteria,,Pseudomonadota,Gammaproteobacteria,24253,1194462,1631,912,713,3618,3618,3618,3618,3618,3618,3618,3618,3134,3618,3618,3618,3618,3618,3134,3618,5.00E-05,3618,3618,619,0,3618,3618,3618,3134,3618,3618,768,3134,3618,3618,3618,3618,3618,2439,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3134,0.0039,4101,619,88,3134,166,3134,0.0042,0.0011,213,3134,3618,3134,102,49,3618,2439,2439,871,3618,3000,102,3618,3134,1481,2849,1993,768,1940,3134,2439,2439,2439,768,3134,4180,3134,1778,3134,3134,3134,0.0034,213,1778,3134,1993,3618,1993,3134,1481,3618,3618,3618,166,3134,3134,3618,3134,3618,3618,3134,1993,2849,2439,2439,3134,871,3134,1993,3618,1778,3134,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618
Sus scrofa (Pig),Sus scrofa,Sus scrofa,9823,Sus,Eukaryota,Animalia,Chordata,Mammalia,1461,332094,285679,74803,14071,94,94,1530,94,1275,62,1275,686,3618,1530,1530,686,429,319,3618,94,3618,3618,352,3618,3618,0,94,1275,3618,3618,1275,3618,3618,1275,1275,1530,94,1275,3618,1275,76,1530,1530,1530,686,160,94,1530,352,686,686,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,94,3618,3618,3618,1275,3618,3618,3618,1275,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,1530,1530,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,62,3618,3618,1530,1530,1530,1530,661,685,685,581,563,429,319,160,76,686,686,686,686
Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey),Macaca fascicularis,Macaca fascicularis,9541,Macaca,Eukaryota,Animalia,Chordata,Mammalia,1177,79284,85372,20279,6128,28.8,87,1530,87,1275,94,1275,686,3618,1530,1530,686,429,319,3618,28.8,3618,3618,352,3618,3618,94,0,1275,3618,3618,1275,3618,3618,1275,1275,1530,87,1275,3618,1275,94,1530,1530,1530,686,160,28.8,1530,352,686,686,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,28.8,3618,3618,3618,1275,3618,3618,3618,1275,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,1530,1530,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,94,3618,3618,1530,1530,1530,1530,661,685,685,581,563,429,319,160,94,686,686,686,686
Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),Candida albicans,Candida albicans,5476,Candida,Eukaryota,Fungi,Ascomycota,Saccharomycetes,1467,25059,15976,8066,5597,1275,1275,1530,1275,235,1275,543,1275,3618,1530,1530,1275,1275,1275,3618,1275,3618,3618,1275,3618,3618,1275,1275,0,3618,3618,534,3618,3618,235,235,1530,1275,534,3618,534,1275,1530,1530,1530,1275,1275,1275,1530,1275,1275,1275,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,1275,3618,3618,3618,334,3618,3618,3618,121,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,1530,1530,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,1275,3618,3618,1530,1530,1530,1530,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275
Synechocystis sp. (strain PCC 6803 / Kazusa),Synechocystis sp.,Synechocystis,1111708,Synechocystis,Bacteria,,Cyanobacteria,Cyanophyceae,1104,9620,3533,2694,1490,3618,3618,3618,3618,3618,3618,3618,3618,2936,3618,3618,3618,3618,3618,2908,3618,3134,3618,3618,3134,3134,3618,3618,3618,0,3618,3618,3134,2936,3618,3618,3618,3618,3618,3134,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,2908,3134,4101,3134,3134,2936,3134,2936,3134,3134,3134,1373,3618,2936,3134,3134,3618,3134,3134,3134,3618,3134,3134,3618,2936,3134,3134,3134,3134,3134,2908,3134,3134,3134,3134,2936,4180,2936,3134,2936,2936,2908,3134,3134,3134,2908,3134,3618,3134,2936,3134,3618,3618,3618,3134,2936,1710,3618,751,3618,3618,2936,3134,3134,3134,3134,2936,3134,662,3134,3618,3134,2936,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618
Archaeoglobus fulgidus,Archaeoglobus fulgidus,Archaeoglobus fulgidus,2234,Archaeoglobus,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,1036,13972,12006,7987,3105,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3465,3618,3618,3618,3618,3618,3618,3618,0,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3465,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,2663,3618,3618,3618,3551,3618,3618,3618,3618,3618,3551,3618,2663,4015,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618
Emericella nidulans,Emericella nidulans,Emericella nidulans,162425,Emericella,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,1038,18774,12533,10742,4923,1275,1275,1530,1275,534,1275,543,1275,3618,1530,1530,1275,1275,1275,3618,1275,3618,3618,1275,3618,3618,1275,1275,534,3618,3618,0,3618,3618,534,534,1530,1275,99,3618,321,1275,1530,1530,1530,1275,1275,1275,1530,1275,1275,1275,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,1275,3618,3618,3618,534,3618,3618,3618,534,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,1530,1530,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,1275,3618,3618,1530,1530,1530,1530,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275
Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961),Vibrio cholerae,Vibrio cholerae,243277,Vibrio,Bacteria,,Pseudomonadota,Gammaproteobacteria,2780,118248,1052,900,620,3618,3618,3618,3618,3618,3618,3618,3618,3134,3618,3618,3618,3618,3618,3134,3618,768,3618,3618,768,768,3618,3618,3618,3134,3618,3618,0,3134,3618,3618,3618,3618,3618,2439,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3134,768,4101,768,768,3134,768,3134,768,768,768,3134,3618,3134,768,768,3618,2439,2439,871,3618,3000,768,3618,3134,1481,2849,1993,101,1940,3134,2439,2439,2439,24.3,3134,4180,3134,1778,3134,3134,3134,768,768,1778,3134,1993,3618,1993,3134,1481,3618,3618,3618,768,3134,3134,3618,3134,3618,3618,3134,1993,2849,2439,2439,3134,871,3134,1993,3618,1778,3134,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618
Staphylococcus aureus (strain Mu50 / ATCC 700699),Staphylococcus aureus,Staphylococcus aureus,158878,Staphylococcus,Bacteria,,Bacillota,Bacilli,11044,198801,451,231,132,3618,3618,3618,3618,3618,3618,3618,3618,1429,3618,3618,3618,3618,3618,2908,3618,3134,3618,3618,3134,3134,3618,3618,3618,2936,3618,3618,3134,0,3618,3618,3618,3618,3618,3134,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,2908,3134,4101,3134,3134,1429,3134,1382,3134,3134,3134,2936,3618,2233,3134,3134,3618,3134,3134,3134,3618,3134,3134,3618,1429,3134,3134,3134,3134,3134,2908,3134,3134,3134,3134,1429,4180,2607,3134,1382,1810,2908,3134,3134,3134,2908,3134,3618,3134,1429,3134,3618,3618,3618,3134,1382,2936,3618,2936,3618,3618,1810,3134,3134,3134,3134,1810,3134,2936,3134,3618,3134,2607,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618
Ashbya gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056),Ashbya gossypii,Ashbya,284811,Ashbya,Eukaryota,Fungi,Ascomycota,Saccharamycotina,928,3863,4764,4574,2386,1275,1275,1530,1275,114,1275,543,1275,3618,1530,1530,1275,1275,1275,3618,1275,3618,3618,1275,3618,3618,1275,1275,235,3618,3618,534,3618,3618,0,93,1530,1275,534,3618,534,1275,1530,1530,1530,1275,1275,1275,1530,1275,1275,1275,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,1275,3618,3618,3618,334,3618,3618,3618,235,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,1530,1530,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,1275,3618,3618,1530,1530,1530,1530,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275
Kluyveromyces lactis,Kluyveromyces lactis,Kluyveromyces lactis,28985,Kluyveromyces,Eukaryota,Fungi,Ascomycota,Saccharomycetes,924,9417,9967,4958,1591,1275,1275,1530,1275,114,1275,543,1275,3618,1530,1530,1275,1275,1275,3618,1275,3618,3618,1275,3618,3618,1275,1275,235,3618,3618,534,3618,3618,93,0,1530,1275,534,3618,534,1275,1530,1530,1530,1275,1275,1275,1530,1275,1275,1275,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,1275,3618,3618,3618,334,3618,3618,3618,235,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,1530,1530,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,1275,3618,3618,1530,1530,1530,1530,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275
Acanthamoeba polyphaga mimivirus (APMV),Acanthamoeba polyphaga,Acanthamoeba polyphaga,5757,Acanthamoeba,Virus,Bamfordvirare,Nucleocytoviricota,Megaviricetes,911,7646,45,25,6,1530,1530,1351,1530,1530,1530,1530,1530,3618,1351,1377,1530,1530,1530,3618,1530,3618,3618,1530,3618,3618,1530,1530,1530,3618,3618,1530,3618,3618,1530,1530,0,1530,1530,3618,1530,1530,1351,1351,1351,1530,1530,1530,1351,1530,1530,1530,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,1530,3618,3618,3618,1530,3618,3618,3618,1530,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,1351,1351,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,1530,3618,3618,1351,1351,1351,1423,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530
Oryctolagus cuniculus (Rabbit),Oryctolagus cuniculus,Oryctolagus cuniculus,9986,Oryctolagus,Eukaryota,Animalia,Chordata,Mammalia,901,42632,74776,31573,6645,87,79,1530,79,1275,94,1275,686,3618,1530,1530,686,429,319,3618,87,3618,3618,352,3618,3618,94,87,1275,3618,3618,1275,3618,3618,1275,1275,1530,0,1275,3618,1275,94,1530,1530,1530,686,160,87,1530,352,686,686,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,87,3618,3618,3618,1275,3618,3618,3618,1275,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,1530,1530,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,94,3618,3618,1530,1530,1530,1530,661,685,685,581,563,429,319,160,94,686,686,686,686
