Entry,Progen2_medium_ll,Progen2_base_ll,Progen2_large_ll,Progen2_xlarge_ll,Progen2_BFD90_ll,ESM2_650M_pppl,ESM2_3B_pppl,ESM2_15B_pppl
P50991,-0.531559721,-0.475655466,-0.514947802,-0.1800154,-0.354334548,-1.699998372,-1.622069512,-1.557855275
P52298,-0.550620228,-0.607749343,-0.705164492,-0.189010106,-0.428610906,-2.050210117,-1.872434396,-1.726017695
P55884,-0.596538067,-0.568953365,-0.578228384,-0.413603619,-0.518321961,-0.769198944,-0.494516659,-0.443242042
P57081,-1.828095198,-1.594496071,-1.816593826,-0.604982674,-1.227475226,-1.669162583,-1.387033567,-1.286878345
P60174,-0.662220001,-0.707094103,-0.685009211,-0.282366604,-0.580379158,-0.790787806,-0.75183697,-0.557315549
P60228,-0.410091192,-0.477199167,-0.440729201,-0.098280102,-0.276862681,-0.384351452,-0.095304056,-0.075889498
P60866,-0.368250594,-0.574632123,-0.325592175,-0.174361631,-0.259653978,-1.22705757,-0.322628861,-0.23543462
P61009,-1.260767996,-1.207717419,-1.453352749,-0.290486075,-0.994349986,-0.526429841,-0.204255327,-0.080266798
P61158,-0.131878436,-0.168200254,-0.14029865,-0.057868101,-0.178443708,-0.103229362,-0.051516957,-0.052493503
P61247,-0.147202641,-0.194829769,-0.2103732,-0.078556988,-0.127747044,-2.023391845,-1.707058335,-1.665140214
P61313,-0.23666776,-0.193920337,-0.238581911,-0.11139087,-0.151260547,-0.104759297,-0.018052975,-0.015757366
P61960,-0.489020109,-2.295479536,-0.463068932,-0.245049231,-0.382386193,-2.29709515,-2.135063725,-2.264824703
P61970,-1.068578064,-1.41114223,-1.724991381,-0.322205573,-0.908344865,-0.502934541,-0.143018571,-0.03419584
P62081,-0.23268301,-0.270352378,-0.238308035,-0.123302631,-0.19904609,-0.03164389,-0.006841871,-0.001830345
P62249,-0.357453525,-0.417959496,-0.389089614,-0.14426329,-0.276495978,-0.135439066,-0.081235864,-0.012248792
P62263,-0.249324009,-0.209644936,-0.214812905,-0.133999199,-0.196583413,-1.797688432,-1.66928423,-1.265154895
P62266,-0.310291961,-0.410464004,-0.282328933,-0.142044134,-0.21029184,-0.023407909,-0.013302355,-0.003330607
P62269,-0.323579296,-0.346159279,-0.275495782,-0.154143147,-0.217947774,-1.64633971,-1.521132757,-1.442239106
P62273,-0.63353762,-2.799966574,-0.714759529,-0.356441259,-0.468863398,-2.339101603,-1.95794644,-1.979781306
P62277,-0.25257612,-0.222473405,-0.216379337,-0.147958964,-0.239319786,-1.623304436,-1.096589315,-0.857827673
P62753,-0.157708682,-0.175988361,-0.173858732,-0.098136958,-0.133421782,-2.061349279,-1.249470046,-0.972726855
P62805,-0.147877805,-0.198441766,-0.190149724,-0.156291172,-0.167380556,-1.787367648,-1.325070715,-1.066769394
P62829,-0.240828164,-0.234043859,-0.243486792,-0.137420133,-0.252623484,-0.351759033,-0.163404129,-0.126703661
P62841,-0.246031664,-0.26682514,-0.279441625,-0.121192183,-0.192605346,-2.519601481,-1.589588501,-1.479541843
P62888,-0.316784404,-0.910672754,-0.363066912,-0.171603635,-0.251536258,-0.901605346,-0.160617288,-0.074694875
P62891,-0.570404619,-2.271677136,-0.496594295,-0.414591432,-0.538348526,-2.705371671,-2.742405654,-2.578734308
P62906,-0.382998988,-0.334767543,-0.31060563,-0.103558563,-0.160520792,-0.162780178,-0.039115505,-0.027237265
P62910,-0.183346726,-0.2163807,-0.206520967,-0.180905484,-0.208172813,-0.012967811,-0.009981206,-0.009765936
P62913,-0.257254444,-0.254518285,-0.409203991,-0.143939726,-0.229939796,-0.351367131,-0.078634163,-0.034337545
P62917,-0.302149579,-0.293312579,-0.362894788,-0.09901385,-0.20482602,-1.574884421,-1.229408905,-0.844045008
P63220,-0.68021968,-2.926313877,-0.666658014,-0.328554153,-0.432674348,-0.047812112,-0.014004867,-0.013899157
P63244,-0.208546922,-0.142826624,-0.208928667,-0.09216385,-0.116322871,-1.145014694,-0.389918881,-0.204270765
P83731,-0.646705031,-0.641491145,-0.622488379,-0.156217568,-0.373817883,-0.319749482,-0.040206344,-0.022133491
P83881,-0.229347125,-0.323254451,-0.20424445,-0.188259602,-0.196438991,-2.00635505,-1.861661207,-1.727533727
P84243,-0.169377066,-0.164563306,-0.171084493,-0.124029242,-0.153557993,-1.550915882,-1.264100893,-1.140920472
P99999,-0.699499547,-1.02755475,-0.723920882,-0.477596775,-0.600380421,-1.270731692,-1.255014873,-1.143906636
Q03135,-1.807652831,-1.623822927,-1.674093425,-0.908091694,-1.216660738,-0.919891181,-0.432923227,-0.312556462
Q13126,-0.594937444,-0.58455573,-0.614682913,-0.221758224,-0.439794958,-0.261201762,-0.074334891,-0.049636792
Q13347,-0.770490378,-0.639644489,-0.755668908,-0.089632347,-0.257798575,-0.860375273,-0.451018811,-0.10918982
Q13503,-2.361287117,-2.1396963,-2.081213474,-0.299889706,-1.034576625,-1.37215754,-0.578159854,-0.153163196
Q13765,-0.326395378,-0.246851876,-0.331932694,-0.080433771,-0.102172971,-1.240330651,-0.834801508,-0.443583747
Q14152,-0.469852984,-0.497388497,-0.355643719,-0.201427847,-0.421781331,-0.62654634,-0.439007122,-0.326709269
Q15528,-1.195168555,-1.100951254,-1.223479271,-0.759723395,-1.040417165,-0.991550253,-0.835964439,-0.077580791
Q2TAA5,-1.048047662,-0.943742424,-0.913213044,-0.455882818,-0.731261134,-1.065817385,-0.823011726,-0.644464447
Q2VPK5,-1.620554268,-1.398167074,-1.61841917,-0.77392906,-1.301812232,-1.563620332,-1.500399233,-1.460974622
Q32P41,-1.672095776,-1.487361968,-1.68545866,-0.780485094,-1.247564554,-1.452811937,-1.255611156,-1.04577921
Q53GQ0,-1.075414836,-1.088561177,-1.14634639,-0.469167367,-0.70781666,-1.349324744,-1.28495647,-1.278595575
Q7L2H7,-2.034875274,-1.666331351,-1.473215938,-0.174682554,-0.737673223,-1.020976729,-0.19380474,-0.025609516
Q86WA8,-0.622365385,-0.570552289,-0.669200212,-0.162613161,-0.375688046,-1.602014802,-1.533707925,-1.415374696
Q8IW45,-0.926692516,-0.879141003,-0.952461809,-0.475182012,-0.731240809,-1.049457476,-0.785422241,-0.792399059
Q8N4Q1,-0.874118328,-0.850756586,-0.939639509,-0.604561716,-0.797831655,-2.0837924,-1.933867549,-1.743846222
Q8N573,-0.784920603,-0.779088169,-0.832537383,-0.240081042,-0.666993976,-2.092082477,-1.783371816,-1.355831429
Q8NCW5,-1.171750963,-1.021579504,-1.035521328,-0.709065586,-0.902386248,-1.470803049,-1.339745046,-1.339904147
Q93074,-0.230184857,-0.235247605,-0.180826955,-0.087282965,-0.39007502,-1.392482035,-0.67516566,-0.451835673
Q969S9,-1.005437523,-0.902774304,-0.844170302,-0.434453517,-0.689838946,-1.657216704,-1.34286436,-1.13600649
Q96DW6,-0.775100023,-0.791888088,-0.798736364,-0.343789324,-0.569765866,-1.552237663,-1.217296041,-0.888027047
Q96FX2,-1.274647653,-2.309666514,-1.364583135,-0.701652542,-1.058722854,-0.818518455,-0.297601981,-0.320590473
Q96G25,-1.349902332,-1.573214293,-1.960818648,-0.211275302,-0.8174842,-1.250075266,-0.368150702,-0.114606838
Q96GX9,-0.796054244,-0.708518952,-0.713384271,-0.467732504,-0.608827382,-0.621574506,-0.369180926,-0.198594568
Q96RP9,-0.59761256,-0.535465553,-0.638742357,-0.311850369,-0.50671646,-1.485206369,-1.221903789,-1.02093049
Q99613,-0.577002704,-0.486406624,-0.525762722,-0.051788062,-0.332977593,-1.276153522,-1.055714863,-0.922583997
Q99797,-0.810792774,-0.660039693,-0.809392631,-0.306234702,-0.541017294,-0.941056056,-0.439016741,-0.255012625
Q9BQC3,-2.013602138,-1.922951221,-2.195845246,-0.511462107,-1.508701146,-1.585724411,-1.452398189,-1.388802872
Q9BT78,-0.810765177,-0.598553449,-0.527854279,-0.101855595,-0.385079324,-0.394462837,-0.10125821,-0.034551758
Q9BTT4,-1.201547235,-1.5702461,-1.668163896,-0.264167063,-0.701458067,-1.456361108,-1.183833369,-1.199436374
Q9BUE0,-2.917488575,-2.906072021,-2.867292643,-0.251575559,-1.989772141,-1.873341861,-1.584148772,-1.505659366
Q9BV20,-0.986681789,-0.970945209,-0.959412992,-0.324610487,-0.614494622,-1.339581527,-1.121648652,-0.999826091
Q9BV57,-0.940436929,-0.889515102,-1.05622831,-0.470105454,-0.713855416,-0.74866061,-0.497617314,-0.454821561
Q9BV79,-0.948459744,-0.86659354,-0.896552533,-0.497847363,-0.706544995,-1.064986415,-0.887498804,-0.593536483
Q9BY32,-0.634986162,-0.564148009,-0.63735801,-0.328162402,-0.48945196,-1.098491112,-0.994455526,-1.031491
Q9BZG8,-0.84814769,-0.817360461,-0.826851696,-0.418509528,-0.685119241,-1.698715643,-1.494750467,-1.519917709
Q9GZZ9,-0.940352619,-0.864614397,-0.839457929,-0.37026526,-0.593767822,-1.683629603,-1.403466671,-1.233678351
Q9H0R6,-0.911968738,-0.958129078,-0.926341325,-0.316012144,-0.62459892,-1.179928858,-0.827607574,-0.55681247
Q9H1Y0,-0.583692044,-0.553861558,-0.910103858,-0.146281593,-0.453777194,-0.601047591,-0.156947391,-0.05779925
Q9H944,-2.705982447,-2.591176987,-2.887013555,-0.243552431,-1.098614395,-0.543105305,-0.290407557,-0.153982361
Q9NPF4,-0.631270766,-0.633559912,-0.575837821,-0.405048341,-0.532269269,-1.227439799,-0.892144408,-0.865128548
Q9NPJ6,-1.976109803,-1.506488204,-1.738273263,-0.431125939,-1.12896961,-1.910910172,-0.713911695,-0.294844775
Q9NVC6,-2.795194864,-2.444272161,-2.00042361,-0.159746394,-1.836551428,-1.304304309,-0.529612507,-0.242953356
Q9NX18,-1.256924748,-1.232189596,-1.408083498,-0.625131592,-0.89821887,-1.338527755,-1.073229358,-0.922415106
Q9P086,-2.758184791,-2.772106051,-2.241350055,-0.692300647,-2.074569166,-0.358550992,-0.06476297,-0.056125629
Q9UBP6,-1.122117102,-1.005637139,-1.186113834,-0.415584981,-0.775226295,-1.483233914,-1.292025915,-0.94148445
Q9UBQ5,-0.9844625,-0.717031717,-0.86903134,-0.140897259,-0.395552963,-0.284746253,-0.07781191,-0.031834004
Q9UGY1,-1.607153654,-1.636075377,-1.702988684,-0.551188409,-1.399656355,-1.448330927,-0.938711609,-0.480365292
Q9UHB4,-0.816742867,-0.776843697,-0.747804195,-0.370107353,-0.623117894,-0.739302363,-0.501169873,-0.359040999
Q9UHY7,-1.075714529,-0.982865363,-1.234577477,-0.253635563,-0.706178963,-0.411535863,-0.201517546,-0.109991554
Q9UJA5,-1.682408214,-1.534614801,-1.603394449,-0.608399242,-1.193092048,-1.161118758,-0.805883677,-0.609254911
Q9UNS2,-1.244230568,-1.06659162,-1.191518366,-0.108422998,-0.41436334,-1.484239909,-1.282202984,-1.111914066
Q9Y262,-0.709448308,-0.645421356,-0.558631986,-0.098359272,-0.3469982,-0.697194796,-0.389256921,-0.086771778
Q9Y2V7,-1.211786896,-1.229638755,-1.30985111,-0.295878708,-0.715584904,-0.75697132,-0.378588565,-0.249070448
Q9Y2X3,-0.986593664,-0.966945499,-0.819313675,-0.378171206,-0.816370249,-1.959885352,-1.862555037,-1.808932405
Q9Y3C7,-0.776478112,-0.743949711,-0.801809907,-0.35009101,-0.596575841,-0.352462866,-0.136077871,-0.02068516
Q9Y3C8,-0.763730288,-0.799495548,-0.893808514,-0.350272208,-0.59369114,-0.39336967,-0.138788678,-0.067548889
Q9Y3D6,-1.09930408,-0.988158077,-1.084313124,-0.264409885,-0.644398928,-1.273520847,-1.156407516,-1.113212564
Q9Y3D9,-2.563896894,-2.795480609,-2.763255954,-1.103431046,-1.545143187,-1.167260678,-0.930060662,-0.645466515
Q9Y3I0,-0.491011769,-0.469483063,-0.419795528,-0.094667055,-0.317756727,-1.522144178,-1.301531989,-1.028723405
Q9Y570,-0.715713263,-0.766723782,-0.948166996,-0.199449107,-0.468879625,-0.675431065,-0.240772154,-0.149449691
O75153,-0.460980386,-0.34526436,-0.360729843,-0.208919585,-0.262786284,-1.549995655,-1.241170712,-1.172546281
P03901,-0.871019125,-2.705155492,-0.876767427,-0.37042509,-0.727303267,-0.28000316,-0.090019317,-0.054864818
Q15181,-1.024736255,-0.96719867,-1.033117026,-0.369642094,-0.744452029,-1.599320619,-1.496038138,-1.469723789
Q7Z7A3,-1.182691097,-1.163950503,-1.198532104,-0.362537503,-0.807907343,-1.508552904,-1.398448488,-1.201869286
Q86U38,-2.34010613,-2.142120957,-2.228159308,-0.532932475,-1.306244493,-1.523996528,-0.981753001,-0.65663494
Q9H3S5,-1.272805095,-1.240665376,-1.260476351,-0.585168749,-1.101586223,-1.358070536,-1.249685378,-1.253678205
Q9UHW5,-0.649027079,-0.541004151,-0.763063818,-0.227985002,-0.469991639,-0.280950454,-0.202697999,-0.09123156
Q9Y3C1,-1.929216087,-2.182031274,-2.200077534,-0.335514888,-0.929559052,-0.936250185,-0.33547793,-0.229309155
P82664,-1.37940681,-1.444351196,-1.639586151,-0.772423804,-1.175961733,-0.977601682,-0.697896342,-0.405262947
P84351,-2.87736702,-3.043437481,-3.035818815,-2.12201041,-2.809651613,-3.050732116,-0.460142881,-0.362929714
Q96EL2,-2.128632665,-1.632377684,-2.665518522,-0.676917046,-1.22525394,-1.397256717,-0.535175986,-0.473198624
Q9NRP4,-2.22366631,-2.566040158,-2.313334346,-0.817311943,-1.602026999,-1.146814624,-0.783849524,-0.422938633
A2ABV5,-0.640865535,-0.644250661,-0.725813955,-0.265787907,-0.643262506,-1.986856252,-1.371293099,-1.179190854
A2AGH6,-0.308319941,-0.307763904,-0.272429042,-0.148879293,-0.442308217,-1.421274252,-0.728283278,-0.486333513
A2AI05,-1.087766409,-1.051825225,-1.11846292,-0.667436302,-0.91779685,-0.942104691,-0.787840412,-0.634213118
O08663,-0.568127692,-0.58050245,-0.562455982,-0.280864395,-0.467749745,-1.32692696,-0.871456471,-0.605140088
O70194,-1.028027922,-0.451788515,-0.468285292,-0.109381724,-0.265294679,-1.769701047,-1.150571873,-0.91720697
O70503,-1.217692733,-1.258907259,-1.329095304,-0.765328199,-1.053319663,-1.381947223,-1.351107274,-1.394855081
O88543,-1.245821834,-1.065145403,-1.195934027,-0.126266245,-0.429766715,-1.483348608,-1.285121414,-1.111243013
P00158,-0.326758742,-0.339879975,-0.341076791,-0.238768257,-0.302866131,-1.85234151,-1.68074716,-1.592345234
P00397,-0.238175735,-0.24487526,-0.243460618,-0.175935626,-0.218191162,-1.643976293,-1.598740813,-1.631020984
P06745,-0.68262741,-0.683144361,-0.716546685,-0.39644745,-0.570168108,-0.996100311,-0.822979884,-0.829599384
P08030,-1.171777964,-1.211738646,-1.095157385,-0.598612368,-0.851391107,-1.163069171,-1.087593378,-0.983075631
P08228,-0.86668545,-0.898452073,-0.930052668,-0.531896412,-0.831509143,-0.997698252,-0.952778702,-0.908980048
P09671,-0.702863902,-0.662815571,-0.749351889,-0.449207008,-0.628033787,-1.422026271,-1.303186499,-1.125384579
P0C0S6,-0.239229791,-0.264276274,-0.223538868,-0.185515292,-0.184665121,-1.689825356,-1.334685512,-0.885239367
P14115,-0.267739423,-0.25475958,-0.261909194,-0.157716908,-0.199697644,-0.068967766,-0.052600608,-0.048160911
P14131,-0.357453525,-0.417959496,-0.389089614,-0.14426329,-0.276495978,-0.135439066,-0.081235864,-0.012248792
P14148,-0.53368862,-0.46999982,-0.539576799,-0.377884865,-0.43002893,-0.94499385,-0.717995063,-0.501246944
P14206,-0.16608116,-0.121753886,-0.135379646,-0.079530988,-0.112692621,-1.800578999,-1.514832019,-1.357692591
P14211,-0.756564409,-0.766750902,-0.790079355,-0.518812329,-0.664782792,-0.975152474,-0.770398197,-0.651915161
P14869,-0.328458071,-0.339447483,-0.361424565,-0.175373942,-0.255613245,-0.186556847,-0.140013033,-0.12603752
P15105,-0.573103189,-0.526539087,-0.559867024,-0.262789905,-0.430031598,-1.606060063,-1.259987544,-1.004130597
P16460,-0.562446177,-0.488913924,-0.538667917,-0.155051813,-0.307851359,-1.525663445,-1.138200881,-0.622772129
P16858,-0.231130131,-0.228177674,-0.293640792,-0.166938558,-0.218356319,-1.122088499,-1.000152571,-0.905343981
P17751,-0.802465975,-0.82145673,-0.786263376,-0.433281735,-0.698187649,-0.87129663,-0.840667823,-0.705007092
P17918,-0.756850123,-0.738358647,-0.699823231,-0.304773688,-0.596718967,-1.24387377,-1.098619475,-0.956239964
P19253,-0.611762702,-0.696435928,-0.661425292,-0.312642217,-0.450314775,-1.177486616,-0.980530834,-0.59923607
P20029,-0.454718649,-0.448033005,-0.422848463,-0.203875199,-0.295824662,-1.1515415,-1.018087574,-1.084952111
P23116,-0.486045018,-0.507554471,-0.387104407,-0.234912559,-0.429879829,-0.633185694,-0.450700711,-0.329638782
P27659,-0.260514244,-0.237806268,-0.330360904,-0.126476254,-0.21928262,-2.121723797,-1.942220188,-1.704334933
P29037,-0.487970948,-0.52921477,-0.429427773,-0.153870218,-0.374805972,-1.385104113,-1.335691774,-1.295838202
P39749,-1.121284842,-0.988640189,-1.115057051,-0.555761158,-0.903880447,-1.494504629,-1.420029288,-1.265894686
P47754,-0.366020158,-0.407278419,-0.421343714,-0.139118508,-0.302940905,-0.409191652,-0.310022269,-0.222442907
P47757,-0.442198336,-0.426952988,-0.511662245,-0.18176581,-0.304051593,-0.399333825,-0.185660394,-0.118784619
P47962,-0.252381995,-0.257549658,-0.311281249,-0.185574688,-0.21082326,-1.444632004,-0.988405798,-0.880071866
P49817,-1.801168323,-1.630948663,-1.695858598,-0.88161543,-1.19309938,-0.92713733,-0.477723593,-0.363886429
P50247,-0.527216613,-0.533543944,-0.543694854,-0.209191434,-0.470786557,-1.608421581,-1.338982676,-1.129696676
P50516,-0.553747863,-0.498767108,-0.488776684,-0.24449148,-0.410799071,-1.780187313,-1.551887855,-1.450273846
P53026,-0.45135805,-0.393372133,-0.376670212,-0.162187032,-0.2315934,-0.209568467,-0.11588434,-0.105804568
P56480,-0.463970944,-0.470465302,-0.475509256,-0.334081024,-0.413267121,-2.031092563,-1.911298311,-1.892914248
P58252,-0.313743711,-0.227983028,-0.370128348,-0.069234662,-0.184429497,-1.56073346,-1.338111603,-1.10952221
P60229,-0.410091192,-0.477199167,-0.440729201,-0.098280102,-0.276862681,-0.384351452,-0.095304056,-0.075889498
P60867,-0.368250594,-0.574632123,-0.325592175,-0.174361631,-0.259653978,-1.22705757,-0.322628861,-0.23543462
P61961,-0.489020109,-2.295479536,-0.463068932,-0.245049231,-0.382386193,-2.29709515,-2.135063725,-2.264824703
P62082,-0.23268301,-0.270352378,-0.238308035,-0.123302631,-0.19904609,-0.03164389,-0.006841871,-0.001830345
P62264,-0.249324009,-0.209644936,-0.214812905,-0.133999199,-0.196583413,-1.797688432,-1.66928423,-1.265154895
P62267,-0.310291961,-0.410464004,-0.282328933,-0.142044134,-0.21029184,-0.023407909,-0.013302355,-0.003330607
P62270,-0.323579296,-0.346159279,-0.275495782,-0.154143147,-0.217947774,-1.64633971,-1.521132757,-1.442239106
